achiote seeds,achiote + pork + sour orange
"beef, short ribs",short ribs + cinnamon + tomatoes + red wine
"beef, short ribs",short ribs + horseradish + lemon + parsley
"beef, short ribs",short ribs + onions + potatoes + red wine
"beef, short ribs",short ribs + potatoes + root vegetables
"beef, steak",steak + arugula + parmesan cheese + balsamic vinegar
"beef, steak",steak + bacon + potatoes + red wine
"beef, steak",steak + chianti + lemon + salt
"beef, steak",steak + cremini mushrooms + watercress
"beef, steak",steak + horseradish + mustard + potatoes
"beef, steak",steak + shallots + red wine
beets,beets + chives + orange + tarragon
beets,beets + citrus + goat cheese + olive oil + shallots
beets,beets + crème fraîche + orange + tarragon
beets,beets + dill + sour cream
beets,beets + endive + goat cheese + pistachios
beets,beets + endive + orange + walnuts
beets,beets + goat cheese + walnuts
beets,beets + gorgonzola cheese + hazelnuts + vinegar
beets,beets + honey + tarragon
beets,beets + mint + yogurt
beets,beets + olive oil + parmesan cheese + balsamic vinegar
beets,beets + orange + walnuts
beets,beets + potatoes + balsamic vinegar
beets,beets + shallots + vinegar + walnuts
belgian cuisine,beef + bay leaf + beer + thyme + vinegar
belgian cuisine,endive + béchamel sauce + nutmeg
belgian cuisine,endive + goat cheese + herbs
belgian cuisine,mussels + butter + garlic + parsley + shallots
bell peppers,bell peppers + basil + currants + garlic + pine nuts + sherry vinegar
bell peppers,bell peppers + garlic + olive oil + onion + thyme + zucchini
blackberries,blackberries + crème de cassis + sugar
blackberries,blackberries + ginger + peaches
blackberries,blackberries + honey + vanilla + yogurt
black-eyed peas,black-eyed peas + collard greens + ham hocks
black-eyed peas,black-eyed peas + rice + savory
blueberries,blueberries + cinnamon + cream + sugar
blueberries,blueberries + cream + lemon zest + mascarpone + sugar
blueberries,blueberries + honey + port + vanilla
blueberries,blueberries + lemon + lemon thyme
blueberries,blueberries + lemon zest + maple syrup
blueberries,blueberries + mascarpone + peaches
bouquet garni,bay leaf + parsley + thyme
bourbon,bourbon + grapefruit + honey
bourbon,bourbon + lemon + peaches
bourbon,bourbon + lemon + sugar
bourbon,bourbon + pineapple + sugar
brazilian cuisine,cream + egg yolks + sugar
brazilian cuisine,pork + beans + greens + onions + oranges
broccoli,broccoli + anchovies + capers + red pepper flakes + garlic + olives
broccoli,broccoli + anchovies + lemon
broccoli,broccoli + garlic + lemon juice + olive oil
broccoli,broccoli + garlic + tarragon
broccoli rabe,broccoli rabe + anchovies + red pepper flakes + garlic + olive oil
broccoli rabe,broccoli rabe + garlic + oregano
broccoli rabe,broccoli rabe + red pepper flakes + oregano
brussels sprouts,brussels sprouts + bacon + garlic + cider vinegar
brussels sprouts,brussels sprouts + bacon + onions
brussels sprouts,brussels sprouts + cream + nutmeg
brussels sprouts,brussels sprouts + lemon juice + thyme
brussels sprouts,brussels sprouts + pancetta + thyme
"butter, brown",brown butter + balsamic vinegar + fish
"butter, brown",brown butter + banana + nuts
"cabbage, red",red cabbage + apples + cider vinegar
"cabbage, red",red cabbage + bacon + blue cheese + walnuts
"cabbage, red",red cabbage + balsamic vinegar + brown sugar
"cabbage, red",red cabbage + chestnuts + pork
"cabbage, red",red cabbage + duck fat + goat cheese + red wine vinegar
"cabbage, red",red cabbage + pancetta + ricotta salata cheese
capers,capers + lemon + marjoram
caribbean cuisines,cilantro + garlic + onions (aka sofrito)
caribbean cuisines,fish + allspice + oil + onions + vinegar (aka escabèche)
carrots,carrots + celery + onions (aka mirepoix)
carrots,carrots + cilantro + lime
carrots,carrots + cinnamon + raisins + sugar + walnuts
carrots,carrots + cumin + orange
carrots,carrots + dill + orange
carrots,carrots + lemon juice + olive oil + parsley
carrots,carrots + maple syrup + orange
carrots,carrots + olive oil + turnips
carrots,carrots + pistachios + tarragon
carrots,carrots + raisins + yogurt
cauliflower,cauliflower + anchovies + red pepper flakes + garlic + olive oil
cauliflower,cauliflower + bread crumbs + brown butter + parsley
cauliflower,cauliflower + cilantro + cloves + cumin + turmeric
cauliflower,cauliflower + cream + sorrel
cauliflower,cauliflower + curry + apple
cauliflower,cauliflower + curry + vinegar
cauliflower,cauliflower + garlic + mint + pasta
cauliflower,cauliflower + pine nuts + lime
"cayenne, ground",cayenne + coriander + cumin + garlic
celery,celery + carrots + onions (aka mirepoix)
celery,celery + tarragon + vinegar
celery root,celery root + cream + potatoes + vinegar
celery root,celery root + lemon + mayonnaise + mustard
chard,chard + bell peppers + pecorino cheese + eggplant
chard,chard + red pepper flakes + lemon juice
"cheese, feta",feta cheese + chicken + mint
"cheese, feta",feta cheese + roasted red bell peppers + mint
"cheese, feta",feta cheese + salad greens + mint
"cheese, goat",goat cheese + almonds + honey + pears
"cheese, goat",goat cheese + cherries + thyme
"cheese, goat",goat cheese + fennel seeds + orange zest + pasta
"cheese, goat",goat cheese + honey + persimmons
"cheese, goat",goat cheese + pancetta + shallots
"cheese, gorgonzola",gorgonzola + mint + walnuts
"cheese, manchego",manchego cheese + almonds + quince paste
"cheese, mozzarella",mozzarella cheese + basil + olive oil + tomatoes
"cheese, mozzarella",mozzarella cheese + olives + prosciutto
"cheese, ricotta",ricotta + bread + honey + prosecco
"cheese, roquefort",roquefort cheese + figs + pears
cherries,cherries + almonds + cream + kirsch + vanilla
cherries,cherries + chocolate + walnuts
cherries,cherries + coconut + custard
cherries,cherries + coffee + cream
cherries,cherries + goat cheese + ice wine vinegar + black pepper + thyme
cherries,cherries + honey + pistachios + yogurt
cherries,cherries + mint + vanilla
cherries,cherries + orange + sugar + dry red wine
cherries,cherries + sweet vermouth + vanilla
chervil,chervil + chives + fish + parsley
chervil,chervil + chives + parsley + tarragon (fines herbes)
chestnuts,chestnuts + apples + cream
chestnuts,chestnuts + bacon + fennel
chestnuts,chestnuts + crème fraîche + sugar
chestnuts,chestnuts + orange + pear
chicken,chicken + andouille sausage + red beans + rice
chicken,chicken + apples + endive + walnuts
chicken,chicken + asparagus + ginger
chicken,chicken + avocado + bacon + garlic + mayonnaise + tarragon
chicken,chicken + basil + cinnamon
chicken,chicken + chanterelle mushrooms + rosemary
chicken,chicken + cloves + rosemary + yogurt
chicken,chicken + coconut + galangal + shiitake mushrooms
chicken,chicken + coriander + cumin + garlic
chicken,chicken + cream + grapefruit + pink peppercorns
chicken,chicken + cream + morels
chicken,chicken + cumin + garlic + lemon
chicken,chicken + figs + honey + thyme + dry white wine
chicken,chicken + fines herbes + mushrooms + spring onions
chicken,chicken + garlic + lemon
chicken,chicken + garlic + pancetta + sage + thyme
chicken,chicken + mustard + thyme
chickpeas,chickpeas + cayenne + garlic + lemon juice + olive oil + salt + tahini
chickpeas,chickpeas + cilantro + cumin
chickpeas,chickpeas + garlic + lemon juice + olive oil + thyme
chickpeas,chickpeas + garlic + mint
chickpeas,chickpeas + garlic + olive oil + parsley
chile peppers,chile peppers + cilantro + lime
"chile peppers, habanero",volume: very loud+
"chile peppers, serrano",volume: very loud+
chinese cuisine,cabbage + chicken stock
chinese cuisine,garlic + ginger + pork
chinese cuisine,ginger + rice wine + soy sauce
chinese cuisine,soy sauce + sugar
chocolate and cocoa,chocolate + almonds + cinnamon + sugar
chocolate and cocoa,chocolate + almonds + cream
chocolate and cocoa,chocolate + banana + butterscotch + macadamia nuts
chocolate and cocoa,chocolate + banana + caramel + cream + vanilla
chocolate and cocoa,chocolate + butterscotch + caramel + coffee
chocolate and cocoa,chocolate + caramel + coffee + malt
chocolate and cocoa,chocolate + caramel + coffee + praline
chocolate and cocoa,chocolate + caramel + cream + hazelnuts + vanilla
chocolate and cocoa,chocolate + cherries + mint
chocolate and cocoa,chocolate + cinnamon + chiles + nuts + seeds
chocolate and cocoa,chocolate + coffee + hazelnuts
chocolate and cocoa,chocolate + coffee + walnuts
chocolate and cocoa,chocolate + cream + raspberries
chocolate and cocoa,chocolate + custard + pistachios
chocolate and cocoa,chocolate + ginger + orange
chocolate and cocoa,chocolate + graham crackers + marshmallows
chocolate and cocoa,chocolate + hazelnuts + orange
chocolate and cocoa,chocolate + lavender + vanilla
chocolate and cocoa,chocolate + rum + vanilla
"chocolate, white",white chocolate + basil + strawberries
"chocolate, white",white chocolate + cream + lemon + orange
"chocolate, white",white chocolate + dark chocolate + pistachios
"chocolate, white",white chocolate + ginger + pistachios + rice
chorizo,chorizo + clam broth + herbs + monkfish
cilantro,cilantro + chile peppers + coconut milk
cilantro,cilantro + dill + mint
cilantro,cilantro + garlic + ginger
cinnamon,cinnamon + almonds + raisins
cinnamon,cinnamon + cardamom + cloves + coriander + black pepper (garam masala)
cinnamon,cinnamon + cardamom + rice
cinnamon,cinnamon + cloves + mace + nutmeg
clams,clams + aioli + capers + tarragon
clams,clams + bacon + lemon + scallions
clams,clams + basil + garlic + tomatoes
clams,clams + butter + lemon + shallots
clams,clams + cream + curry + fennel
clams,clams + garlic + mussels + onion + thyme + white wine
clams,clams + oysters + potatoes + thyme
cloves,cloves + cardamom + cinnamon + tea
cloves,cloves + cinnamon + ginger + nutmeg
cloves,cloves + ginger + honey
coconut and coconut milk,coconut + apricot + ginger + green tea + lemongrass + rice + vanilla
coconut and coconut milk,coconut + honey + lime
coconut and coconut milk,coconut + lemongrass + vanilla
coconut and coconut milk,coconut + orange + vanilla
coconut and coconut milk,coconut milk + beef + ginger
cod,cod + capers + chives + lentils + potatoes
cod,cod + cepes (mushrooms) + garlic + lemon + potatoes
"cod, salt",salt cod + bay leaf + thyme + white wine vinegar
coffee / espresso,coffee + bourbon + cream
coffee / espresso,coffee + caramel + chocolate
coffee / espresso,coffee + cinnamon + cloves + orange
coffee / espresso,coffee + cinnamon + cream + lemon + sugar
coffee / espresso,coffee + mascarpone + rum + sugar + vanilla
cooling,cucumbers + mint + yogurt
coriander,coriander + cardamom + cinnamon + clove
coriander,coriander + cayenne + cumin + garlic
coriander,coriander + chile peppers + mustard + black pepper
coriander,coriander + cumin + curry
coriander,coriander + fish + garlic + olive oil + tomatoes
corn,corn + bell pepper + jalapeño chile + cilantro + tarragon
corn,corn + butter + salt
corn,corn + cayenne + lime + salt
corn,corn + cilantro + shrimp
crab,crab + aioli + cilantro + jalapeño chile
crab,crab + almonds + avocado
crab,crab + avocado + cilantro + mango
crab,crab + avocado + grapefruit
crab,crab + corn + green tomatoes
crab,crab + cucumber + lime + mint
crab,crab + ginger + lime
crab,crab + lime + mint
crab,crab + mango + raspberry vinegar
crab,crab + black pepper + snow peas
crab,crab + saffron + shallots
"crab, soft-shell",soft-shell crab + arugula + tartar sauce
"crab, soft-shell",soft-shell crab + asparagus + capers + garlic + lemon + potatoes
"crab, soft-shell",soft-shell crab + broccoli rabe + brown butter
"crab, soft-shell",soft-shell crab + cabbage + mustard
"crab, soft-shell",soft-shell crab + lemon + parsley
"crab, soft-shell",soft-shell crab + orange + parsley
crayfish,crayfish + asparagus + morel mushrooms
crayfish,crayfish + carrot juice + orange juice
cream cheese,cream cheese + crème fraîche + orange + sugar + vanilla
cream cheese,cream cheese + maple syrup + mascarpone
cuban cuisine,allspice + cumin + garlic + orange juice + pork
cuban cuisine,avocado + onions + pineapple + watercress
cuban cuisine,bay leaf + green bell peppers + garlic + onions + oregano (aka safrito)
cuban cuisine,chocolate + garlic + olive oil
cuban cuisine,citrus juice + garlic + olive oil (aka adobo)
cucumbers,cucumber + chervil + salt + vinegar
cucumbers,cucumber + chile peppers + mint + yogurt
cucumbers,cucumber + cilantro + ginger + sugar + rice vinegar
cucumbers,cucumber + dill + red onion + sour cream + vinegar
cucumbers,cucumber + dill + salmon
cucumbers,cucumber + dill + yogurt
cucumbers,cucumber + feta cheese + garlic + mint + olive oil + oregano + red wine vinegar
cucumbers,cucumber + garlic + mint + yogurt
cucumbers,cucumber + lemon + sesame oil + vinegar
cucumbers,cucumber + jalapeño chile + dill + onion
cucumbers,cucumber + mint + yogurt
cumin,cumin + cayenne + coriander + garlic
cumin,cumin + chickpeas + yogurt
cumin,cumin + cinnamon + saffron
cumin,cumin + palm sugar + tamarind
cumin,cumin + tomatoes + turmeric
dates,dates + caramel + vanilla + walnuts
dates,dates + chocolate + walnuts
dates,dates + cream + rum
dates,dates + maple syrup + mascarpone + pistachios
dates,dates + orange + walnuts
dill,dill + cilantro + mint
dill,dill + cucumber + salmon
duck,duck + almonds + apricots
duck,duck + almonds + honey
duck,duck + apples + celery root + hazelnuts
duck,duck + apples + parsnips (and/or other root vegetables)
duck,duck + apricots + cherries + basmati rice
duck,duck + arugula + lentils
duck,duck + arugula + vinaigrette + walnuts
duck,duck + bacon + ginger + spinach
duck,duck + blackberries + ginger + pinot noir
duck,duck + cabbage + mushrooms
duck,duck + cherries + vinegar
duck,duck + cinnamon + honey + orange + star anise
duck,duck + cloves + garlic + orange + prunes + red wine
duck,duck + dates + turnips
duck,duck + fava beans + pecorino cheese
duck,duck + garlic + ginger + mint
duck,duck + ginger + honey + soy sauce
duck,duck + ginger + kumquats + black pepper + star anise
duck,duck + green peppercorns + sweet potatoes
duck,duck + honey + lavender
duck,duck + lemon + plums
duck,duck + lentils + onions + balsamic vinegar
duck,duck + orange + scallions
duck,duck + parsnips + turnips
eastern european cuisines,beef + cabbage + rice
eastern european cuisines,beets + dill + sour cream
eastern european cuisines,cabbage + caraway + vinegar
eastern european cuisines,chicken + cream + paprika
eastern european cuisines,noodles + caraway seeds + sour cream
eggplant,eggplant + basil + bell peppers + garlic + tomatoes
eggplant,eggplant + basil + mozzarella cheese
eggplant,eggplant + basil + olive oil + balsamic vinegar
eggplant,eggplant + basil + ricotta salata cheese + tomatoes
eggplant,eggplant + bell peppers + garlic + mustard
eggplant,eggplant + garlic + lemon juice + olive oil + parsley + tahini
eggplant,eggplant + garlic + onions + parsley
eggplant,eggplant + lentils + yogurt
eggplant,eggs + bacon + cheese + onions
eggplant,eggs + bacon + crème fraîche + onions (alsatian)
eggplant,eggs + beets + smoked whitefish (yiddish)
eggplant,eggs + cheese + mushrooms + thyme
eggplant,eggs + kale + pinkelwurst (oatmeal sausage) (berliner)
eggplant,eggs + mozzarella cheese + tomatoes (roman)
eggplant,eggs + mushrooms + red wine (bordelaise)
eggplant,eggs + potato + sausage
endive,endive + argula + radicchio
endive,endive + cheese + mushrooms
escalar,escalar + kobe beef + brown butter
escarole,escarole + apples + cheddar cheese
escarole,escarole + olive oil + shallots
fennel,fennel + almond + fennel seeds + honey + lemon
fennel,fennel + apple + pecorino cheese + watercress
fennel,fennel + asparagus + fennel seeds + garlic + olive oil
fennel,fennel + garlic + onions + tomatoes
fennel,fennel + lemon + mint + olive oil + olives + orange
fennel,fennel + lemon + olive oil + parmesan cheese + parsley
fennel,fennel + onions + potatoes + chicken stock
fennel,fennel + orange + sambuca
fennel pollen,fennel pollen + lemon + yogurt
fennel seeds,fennel seeds + cinnamon + cloves + peppercorns + star anise (five-spice powder)
fiddlehead ferns,fiddlehead ferns + butter + herbs + morel mushrooms + ramps
fiddlehead ferns,fiddlehead ferns + garlic + morel mushrooms + salmon
fiddlehead ferns,fiddlehead ferns + sesame oil and/or seeds + soy sauce
"figs, dried",dried figs + anise + oranges + walnuts
"figs, fresh",figs + almonds + green anise
"figs, fresh",figs + black pepper + ricotta cheese
"figs, fresh",figs + caramel + vanilla + balsamic vinegar
"figs, fresh",figs + cilantro + lime
"figs, fresh",figs + cinnamon + honey + orange
"figs, fresh",figs + cream + goat cheese + honey
"figs, fresh",figs + cream + honey + raspberries
"figs, fresh",figs + goat cheese + pine nuts
"figs, fresh",figs + honey + mascarpone
"figs, fresh",figs + lemon + rosemary
"figs, fresh",figs + olive oil + rosemary
"figs, fresh",figs + pernod + walnuts
fines herbes,chervil + chives + parsley + tarragon
fish,fish + ginger + lemongrass
fish,fish + herbs + white wine
fish,fish + onions + tomatoes
five-spice powder,cinnamon + cloves + fennel seeds + star anise + szechuan peppercorns
flounder,flounder + capers + lemon
flounder,flounder + shiso + ume
flounder,flounder + konbu seaweed + shiso
foie gras,foie gras + cherries + balsamic vinegar
foie gras,foie gras + cherries + pistachios
foie gras,foie gras + strawberries + black pepper
french cuisine,butter + cheese + stock
french cuisine,butter + cheese + wine
french cuisine,butter + herbs
french cuisine,cream + herbs
french cuisine,herbs + stock
french cuisine,herbs + wine
"french cuisine, northern",bacon + cheese + cream
"french cuisine, southern",basil + garlic + olive oil + parmesan cheese
"french cuisine, southern",basil + olive oil + tomatoes
"french cuisine, southern",bell peppers + eggplant + garlic + onions + tomatoes + zucchini
"french cuisine, southern",chicken + garlic + olives + onions + tomatoes
"french cuisine, southern",garlic + egg yolk + lemon + olive oil + saffron
"french cuisine, southern",marjoram + rosemary + sage + thyme (aka herbes de provence)
"french cuisine, southern",olives + basil + capers + garlic + olive oil (aka tapenade)
"french cuisine, southern",pork + anise + marjoram + thyme
"french cuisine, southern",seafood + garlic + olive oil + tomatoes
frisée,frisée + anchovies + garlic + parmesan cheese
frisée,frisée + bacon + poached egg
frisée,frisée + bacon + roquefort cheese + garlic + shallots + sherry vinegar
"fruit, tropical",tropical fruit + coconut + honey + lime
"fruit, tropical",tropical fruit + ginger + mint + orange + sugar
garam masala,cardamom + black pepper + cinnamon + cloves + coriander + cumin + dried chiles + fennel +
garam masala,mace + nutmeg
georgian cuisine (russian),coriander + dill + fenugreek (blue) + garlic + red peppers
georgian cuisine (russian),garlic + walnuts
german cuisine,caraway + paprika + sour cream
german cuisine,caraway + sauerkraut
german cuisine,cream + horseradish + fish or meat
german cuisine,cream + paprika + poppy seeds
german cuisine,dill + cucumbers
german cuisine,ginger + sauerbraten
german cuisine,juniper berries + game
german cuisine,mace + chicken
german cuisine,nutmeg + potatoes
german cuisine,sugar + vinegar
gin,gin + apple brandy + lemon juice + orange juice
gin,gin + basil + lemon
gin,gin + blackberries + sage
gin,gin + cilantro + lime
gin,gin + cointreau + lime + rosemary
gin,gin + cucumber + mint
gin,gin + earl grey tea + lemon + sugar
gin,gin + lime + mint
gin,gin + lime + mint + pomegranate
gin,gin + lime + orange
ginger,ginger + carrot + celery + garlic
ginger,ginger + chile peppers + garlic
ginger,ginger + chocolate + cream + rum
ginger,ginger + cider vinegar + sugar
ginger,ginger + cilantro + garlic + scallions
ginger,ginger + cream + honey
ginger,ginger + lemon + mint
ginger,ginger + lemon + pepper + salt + sugar
grapefruit,grapefruit + avocado + crème fraîche
grapefruit,grapefruit + caramel + meringue
grapefruit,grapefruit + crab + miso + seaweed
grapefruit,grapefruit + fromage blanc + pomegranate
grapefruit,grapefruit + mint + sugar
grapefruit,grapefruit + star anise + yogurt
greek cuisine,cucumber + dill + garlic + yogurt
greek cuisine,dill + lemon
greek cuisine,dill + lemon + olive oil
greek cuisine,dill + yogurt
greek cuisine,eggplant + custard + garlic + meat
greek cuisine,eggplant + garlic + olive oil
greek cuisine,eggs + lemon
greek cuisine,lamb + garlic + lemon + oregano
greek cuisine,lemon + olive oil
greek cuisine,lemon + olive oil + oregano
greek cuisine,lemon + oregano
greek cuisine,phyllo dough + honey + nuts
greek cuisine,rice + grape leaves
greek cuisine,rice + nuts
greek cuisine,spinach + feta cheese
greek cuisine,tomatoes + cinnamon
greek cuisine,yogurt + cinnamon
"greens, mustard",mustard greens + bacon + onions
"greens, mustard",mustard greens + garlic + olive oil + prosciutto
"greens, mustard",mustard greens + sesame oil + soy sauce
halibut,halibut + anchovies + black olives
halibut,halibut + anchovies + garlic + lemon + sorrel
halibut,halibut + apples + celery root + parsnips
halibut,halibut + beets + blood orange + olive oil + sherry vinegar
halibut,halibut + bok choy + sesame seeds
halibut,halibut + chicory + grapefruit
halibut,halibut + coriander + fennel + lemon
halibut,halibut + garlic + lemon + sorrel
halibut,halibut + scallions + white wine
ham,ham + cheese + mustard
ham,ham + honey + soy sauce
ham,ham + jack cheese + greens + mushrooms
ham,ham + mozzarella cheese + red onion
herbes de provence,basil + fennel seeds + lavender + marjoram + rosemary + sage + summer savory + thyme
honey,honey + almonds + chicken + pomegranate
honey,honey + bananas + lavender + pork
honey,honey + cream + pistachios
honey,honey + fruit + yogurt
honeydew,honeydew melon + figs + mint + prosciutto
horseradish,horseradish + apples + pork + sour cream
horseradish,horseradish + beef + beets
horseradish,horseradish + beets + cream cheese
horseradish,horseradish + garlic + olive oil
horseradish,horseradish + salt + vinegar
horseradish,horseradish + seafood + tomatoes
hungarian cuisine,onions + paprika
hungarian cuisine,onions + paprika + pork fat
hungarian cuisine,onions + paprika + sour cream
indian cuisine,cinnamon + cloves + mace + nutmeg
indian cuisine,coriander + cumin + turmeric
indian cuisine,coriander + cumin + yogurt
indian cuisine,cumin + garlic + ginger
indian cuisine,cumin + garlic + yogurt
indian cuisine,garlic + ginger
indian cuisine,garlic + ginger + onion
indian cuisine,potatoes + chili powder + turmeric
indian cuisine,yogurt + fruit
indonesian cuisine,chile peppers + peanuts + soy sauce
indonesian cuisine,garlic + peanuts + soy sauce
indonesian cuisine,garlic + soy sauce + brown sugar
